id,name,songs
55j146r0qiXa84xr9cFXm5,pop electronico,1.0
0Bo7ACaDUOdzk4sXs2w86r,polish classical,6.0
6d1DR3YCuyL9gNVEJSWIEo,russian rave,2.0
102aghAJUqQAqcfTrNHhcj,j-pop,1.0
2FBFPT1cv2Gfon7HA9jSyW,german pop,1.0
0uCZ7GpIPZtZeZaPekac1i,phonk,1.0
0KD6on5urf5f4FFxLoLSoT,swedish hard rock,1.0
3JIRI384JwNafzC1Ur3eZo,neo-synthpop,1.0
0g44ckH1h6KeKRtf5bRU86,pop r&b,1.0
4vr0BQRNHiUSGcQdpOwESw,mexican pop,3.0
6HjxayAfuuuJ7xtytBjc8A,austro-german modernism,1.0
7qV9gkkzWbFGEtxIoWrjFd,wrestling,1.0
7cQQD3c9ePJ9aqDkvthxBv,deep funk,1.0
2dYIOlbsmeWfzfxTuEQPzZ,oakland hip hop,1.0
3SOLaXlr2X6nqnJa8XxYxD,african-american classical,5.0
5l6qA90FAlEnOFrINouo0T,celtic rock,2.0
2xDGVJNSYfjyv2TdQ91A6N,sound team,1.0
7qjCXx0eOZ0JbWiFzta5D1,ska,1.0
0uVq8WPtccfpzFEdab41Ha,cantautor,1.0
7AaeFAxK5I950Gg9Fx5Rmy,native american contemporary,1.0
1RN5ppRRwIBBUfsJ0cMKLF,impressionism,2.0
0o3Q2W7Tkjw5YCCUnZCFIn,chanson,2.0
3tQcMoERiLGqijzhw3xZ0O,avant-garde,1.0
45RnoYbrGPknbUu7MuEBVk,j-poprock,1.0
1NW4JWaGUhweex6nLZeTbb,stride,5.0
4RJ53JFmSb3GzkAJ6q7Y9j,dixieland,2.0
5jpYMFQqykSOBvrvHEb3DL,native american,1.0
1PSMs5CkFhkVU0MD434dcZ,early romantic era,10.0
7KumoNTFHai6ZE3GvqJNo9,jazz quartet,1.0
2ztjgG30qHPi4KRd9BUssU,nashville sound,3.0
0URh82A3voiIzVSy5Q7RYf,mexican classic rock,1.0
76HFuj7orfTHvFmwydkUKU,proto-techno,1.0
